Time,Operator,Technology,RSRP,RSRQ,IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI,Speed o.g.
2024-11-22 12:16:53.001,SGP-M1,5G-NR,-77.6,-11.1,0.002,0.116,1.292166,103.809752,705.0,5.0
2024-11-22 12:16:54.557,SGP-M1,5G-NR,-80.7,-10.7,0.003,0.115,1.292162,103.809806,705.0,11.0
2024-11-22 12:16:57.001,SGP-M1,5G-NR,-81.4,-10.9,0.002,0.118,1.292156,103.809843,705.0,8.0
2024-11-22 12:16:59.131,SGP-M1,5G-NR,-79.9,-10.8,0.003,0.117,1.292139,103.809918,705.0,11.0
2024-11-22 12:17:02.053,SGP-M1,5G-NR,-84.0,-11.0,0.003,0.103,1.29212,103.809943,705.0,5.0
2024-11-22 12:17:04.479,SGP-M1,5G-NR,-84.0,-11.5,0.002,0.109,1.292133,103.809959,705.0,5.0
2024-11-22 12:17:06.680,SGP-M1,5G-NR,-87.5,-12.3,0.003,0.124,1.292169,103.80997,705.0,3.0
2024-11-22 12:17:09.019,SGP-M1,5G-NR,-75.9,-10.9,0.003,0.137,1.292203,103.809974,705.0,1.0
2024-11-22 12:17:11.259,SGP-M1,5G-NR,-86.7,-13.6,0.003,0.146,1.292211,103.80997,705.0,0.0
2024-11-22 12:17:13.838,SGP-M1,5G-NR,-81.9,-11.6,0.002,0.095,1.292215,103.809969,640.0,0.0
2024-11-22 12:17:16.558,SGP-M1,5G-NR,-79.2,-11.2,0.002,0.12,1.292219,103.809971,705.0,0.0
2024-11-22 12:17:19.078,SGP-M1,5G-NR,-78.0,-11.0,0.003,0.124,1.292216,103.809972,705.0,1.0
2024-11-22 12:17:21.598,SGP-M1,5G-NR,-75.1,-10.8,0.002,0.133,1.292208,103.809967,705.0,1.0
2024-11-22 12:17:24.109,SGP-M1,5G-NR,-78.4,-10.8,0.003,0.145,1.292204,103.809965,705.0,0.0
2024-11-22 12:17:27.015,SGP-M1,5G-NR,-75.5,-10.7,0.003,0.114,1.29221,103.809964,705.0,1.0
2024-11-22 12:17:29.258,SGP-M1,5G-NR,-79.4,-10.9,0.003,0.138,1.292218,103.809968,705.0,1.0
2024-11-22 12:17:31.690,SGP-M1,5G-NR,-87.8,-12.6,0.002,0.11,1.292224,103.80997,705.0,0.0
2024-11-22 12:17:34.026,SGP-M1,5G-NR,-85.4,-11.8,0.018,0.162,1.292222,103.809972,705.0,0.0
2024-11-22 12:17:36.338,SGP-M1,5G-NR,-81.5,-11.6,0.443,0.425,1.29222,103.80997,705.0,0.0
2024-11-22 12:17:39.003,SGP-M1,5G-NR,-79.1,-11.0,0.002,0.117,1.29222,103.80997,705.0,0.0
2024-11-22 12:17:41.287,SGP-M1,5G-NR,-83.2,-11.2,0.017,0.188,1.292221,103.80997,705.0,0.0
2024-11-22 12:17:43.789,SGP-M1,5G-NR,-86.0,-12.8,0.003,0.126,1.292222,103.80997,705.0,0.0
2024-11-22 12:17:46.001,SGP-M1,5G-NR,-89.3,-13.8,0.002,0.128,1.29222,103.809969,705.0,0.0
2024-11-22 12:17:48.277,SGP-M1,5G-NR,-91.6,-14.9,0.002,0.125,1.292213,103.809966,705.0,0.0
2024-11-22 12:17:50.784,SGP-M1,5G-NR,-85.6,-13.3,0.002,0.116,1.292211,103.809966,705.0,0.0
2024-11-22 12:17:53.258,SGP-M1,5G-NR,-86.4,-11.9,0.002,0.123,1.292207,103.809968,705.0,0.0
2024-11-22 12:17:55.780,SGP-M1,5G-NR,-86.1,-11.4,0.002,0.122,1.292206,103.809967,705.0,0.0
2024-11-22 12:17:58.278,SGP-M1,5G-NR,-84.4,-12.2,0.003,0.132,1.292196,103.809964,705.0,0.0
2024-11-22 12:18:01.000,SGP-M1,5G-NR,-84.2,-13.0,0.003,0.13,1.292193,103.809961,705.0,0.0
2024-11-22 12:18:03.283,SGP-M1,5G-NR,-80.1,-11.8,0.002,0.136,1.292192,103.809959,705.0,0.0
2024-11-22 12:18:06.000,SGP-M1,5G-NR,-79.2,-11.3,0.003,0.147,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:08.818,SGP-M1,5G-NR,-81.0,-11.7,0.002,0.135,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:11.500,SGP-M1,5G-NR,-84.2,-12.6,0.003,0.138,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:14.916,SGP-M1,5G-NR,-88.7,-13.2,0.002,0.147,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:17.956,SGP-M1,5G-NR,-80.6,-12.6,0.003,0.147,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:21.043,SGP-M1,5G-NR,-80.3,-12.1,0.002,0.162,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:24.056,SGP-M1,5G-NR,-77.4,-11.1,0.002,0.147,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:27.075,SGP-M1,5G-NR,-78.7,-11.7,0.002,0.157,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:30.527,SGP-M1,5G-NR,-79.9,-11.8,0.002,0.134,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:33.676,SGP-M1,5G-NR,-84.7,-12.1,0.003,0.132,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:36.264,SGP-M1,5G-NR,-82.4,-12.8,0.003,0.145,1.29219,103.809958,705.0,0.0
2024-11-22 12:18:39.569,SGP-M1,5G-NR,-82.5,-12.8,0.002,0.129,1.29219,103.809958,705.0,0.0
2024-11-22 12:18:42.276,SGP-M1,5G-NR,-81.8,-12.9,0.003,0.162,1.292193,103.809958,705.0,0.0
2024-11-22 12:18:45.071,SGP-M1,5G-NR,-81.3,-10.8,0.003,0.076,1.292196,103.809956,639.0,0.0
2024-11-22 12:18:48.089,SGP-M1,5G-NR,-81.2,-10.8,0.002,0.098,1.292196,103.809956,639.0,0.0
2024-11-22 12:18:51.000,SGP-M1,5G-NR,-81.6,-10.8,0.003,0.094,1.292194,103.809956,639.0,0.0
2024-11-22 12:18:53.664,SGP-M1,5G-NR,-85.7,-13.1,0.002,0.111,1.292194,103.809957,639.0,0.0
2024-11-22 12:18:56.166,SGP-M1,5G-NR,-81.6,-10.8,0.003,0.081,1.292193,103.80996,639.0,0.0
2024-11-22 12:18:59.205,SGP-M1,5G-NR,-82.1,-10.7,0.002,0.128,1.292192,103.80996,639.0,0.0
2024-11-22 12:19:02.195,SGP-M1,5G-NR,-86.3,-11.6,0.002,0.111,1.292189,103.809961,639.0,0.0
2024-11-22 12:19:05.216,SGP-M1,5G-NR,-82.8,-11.9,0.002,0.12,1.292187,103.809962,705.0,0.0
2024-11-22 12:19:07.999,SGP-M1,5G-NR,-86.2,-12.9,0.002,0.114,1.292187,103.809963,705.0,0.0
2024-11-22 12:19:10.501,SGP-M1,5G-NR,-82.3,-11.6,0.002,0.136,1.292213,103.809967,705.0,3.0
2024-11-22 12:19:13.000,SGP-M1,5G-NR,-84.8,-12.2,0.003,0.122,1.292235,103.809969,705.0,4.0
2024-11-22 12:19:15.501,SGP-M1,5G-NR,-80.3,-10.9,0.002,0.154,1.292266,103.809975,705.0,3.0
2024-11-22 12:19:18.022,SGP-M1,5G-NR,-80.1,-10.9,0.002,0.125,1.292306,103.809973,705.0,5.0
2024-11-22 12:19:20.500,SGP-M1,5G-NR,-80.0,-11.0,0.017,0.143,1.292337,103.809949,705.0,11.0
2024-11-22 12:19:22.781,SGP-M1,5G-NR,-87.5,-13.0,0.002,0.124,1.29237,103.809849,705.0,21.0
2024-11-22 12:19:25.280,SGP-M1,5G-NR,-86.1,-11.9,0.002,0.083,1.292421,103.809698,705.0,27.0
2024-11-22 12:19:27.500,SGP-M1,5G-NR,-76.2,-10.8,0.002,0.108,1.292448,103.809549,640.0,29.0
2024-11-22 12:19:29.636,SGP-M1,5G-NR,-86.2,-11.5,0.003,0.075,1.29244,103.809348,640.0,32.0
2024-11-22 12:19:32.001,SGP-M1,5G-NR,-82.9,-11.0,0.003,0.092,1.292423,103.809222,640.0,31.0
2024-11-22 12:19:34.501,SGP-M1,5G-NR,-79.6,-10.7,0.017,0.094,1.292352,103.808994,640.0,29.0
2024-11-22 12:19:36.771,SGP-M1,5G-NR,-84.9,-11.0,0.002,0.063,1.292289,103.808866,640.0,27.0
2024-11-22 12:19:39.001,SGP-M1,5G-NR,-80.4,-11.6,0.002,0.08,1.292205,103.808741,189.0,28.0
2024-11-22 12:19:41.013,SGP-M1,5G-NR,-88.0,-16.0,0.002,0.058,1.292035,103.808562,189.0,32.0
2024-11-22 12:19:43.226,SGP-M1,5G-NR,-86.3,-13.1,0.003,0.049,1.291896,103.808437,189.0,37.0
2024-11-22 12:19:45.262,SGP-M1,5G-NR,-83.4,-13.0,0.003,0.073,1.291732,103.808303,79.0,41.0
2024-11-22 12:19:47.278,SGP-M1,5G-NR,-80.2,-11.7,0.003,0.127,1.291543,103.808166,79.0,46.0
2024-11-22 12:19:49.465,SGP-M1,5G-NR,-83.9,-11.7,0.003,0.09,1.291365,103.808029,79.0,45.0
2024-11-22 12:19:52.000,SGP-M1,5G-NR,-84.8,-11.9,0.002,0.091,1.291171,103.807844,79.0,40.0
2024-11-22 12:19:54.000,SGP-M1,5G-NR,-85.4,-11.6,0.003,0.092,1.291052,103.807738,79.0,39.0
2024-11-22 12:19:56.036,SGP-M1,5G-NR,-83.3,-12.8,0.002,0.122,1.290845,103.807527,79.0,39.0
2024-11-22 12:19:58.264,SGP-M1,5G-NR,-74.4,-11.2,0.003,0.112,1.290688,103.807392,79.0,41.0
2024-11-22 12:20:00.499,SGP-M1,5G-NR,-70.8,-10.7,0.002,0.095,1.29054,103.807257,79.0,41.0
2024-11-22 12:20:02.785,SGP-M1,5G-NR,-68.0,-10.6,0.003,0.107,1.290384,103.807115,79.0,42.0
2024-11-22 12:20:06.781,SGP-M1,5G-NR,-81.2,-12.1,0.003,0.108,1.290005,103.806799,79.0,42.0
2024-11-22 12:20:10.775,SGP-M1,5G-NR,-71.4,-10.5,0.002,0.11,1.289709,103.806554,79.0,42.0
2024-11-22 12:20:13.786,SGP-M1,5G-NR,-72.7,-10.4,0.002,0.108,1.289487,103.806371,79.0,42.0
2024-11-22 12:20:16.087,SGP-M1,5G-NR,-74.4,-10.6,0.003,0.124,1.289266,103.806187,79.0,42.0
2024-11-22 12:20:18.355,SGP-M1,5G-NR,-67.0,-10.4,0.002,0.108,1.289115,103.806056,79.0,42.0
2024-11-22 12:20:21.000,SGP-M1,5G-NR,-81.1,-10.9,0.002,0.115,1.288933,103.805896,79.0,38.0
2024-11-22 12:20:23.021,SGP-M1,5G-NR,-75.3,-10.5,0.002,0.105,1.28876,103.805762,79.0,29.0
2024-11-22 12:20:25.500,SGP-M1,5G-NR,-91.5,-12.5,0.003,0.089,1.288667,103.805689,79.0,22.0
2024-11-22 12:20:28.006,SGP-M1,5G-NR,-80.4,-10.7,0.003,0.039,1.288562,103.805597,640.0,17.0
2024-11-22 12:20:32.780,SGP-M1,5G-NR,-90.8,-11.2,0.003,0.057,1.288388,103.805469,640.0,21.0
2024-11-22 12:20:35.782,SGP-M1,5G-NR,-85.3,-15.1,0.002,0.08,1.288283,103.805392,80.0,23.0
2024-11-22 12:20:38.259,SGP-M1,5G-NR,-75.0,-11.4,0.002,0.064,1.288178,103.805315,189.0,26.0
2024-11-22 12:20:40.763,SGP-M1,5G-NR,-71.8,-10.9,0.003,0.182,1.288077,103.805214,80.0,30.0
2024-11-22 12:20:43.000,SGP-M1,5G-NR,-75.0,-11.2,0.003,0.114,1.287979,103.805094,80.0,31.0
2024-11-22 12:20:45.500,SGP-M1,5G-NR,-68.4,-10.4,0.002,0.087,1.287867,103.804951,80.0,19.0
2024-11-22 12:20:47.706,SGP-M1,5G-NR,-72.0,-10.5,0.002,0.101,1.287818,103.804885,80.0,15.0
2024-11-22 12:20:50.024,SGP-M1,5G-NR,-72.1,-10.5,0.002,0.094,1.287765,103.804811,80.0,9.0
2024-11-22 12:20:52.774,SGP-M1,5G-NR,-73.3,-10.5,0.002,0.134,1.287744,103.804777,80.0,6.0
2024-11-22 12:20:55.784,SGP-M1,5G-NR,-73.4,-10.4,0.001,0.096,1.287741,103.804765,80.0,0.0
2024-11-22 12:20:58.355,SGP-M1,5G-NR,-73.0,-10.4,0.003,0.116,1.287742,103.804765,80.0,0.0
2024-11-22 12:21:03.000,SGP-M1,5G-NR,-79.0,-11.2,0.002,0.115,1.287736,103.804757,80.0,2.0
2024-11-22 12:21:05.833,SGP-M1,5G-NR,-80.1,-10.8,0.002,0.105,1.28773,103.804747,640.0,0.0
2024-11-22 12:21:11.839,SGP-M1,5G-NR,-76.2,-10.7,0.002,0.075,1.28773,103.80475,640.0,0.0
2024-11-22 12:21:14.775,SGP-M1,5G-NR,-76.5,-10.6,0.002,0.064,1.287725,103.804748,640.0,0.0
2024-11-22 12:21:17.827,SGP-M1,5G-NR,-74.8,-10.6,0.002,0.067,1.28772,103.804753,640.0,0.0
2024-11-22 12:21:20.754,SGP-M1,5G-NR,-76.5,-10.8,0.003,0.089,1.287718,103.804754,640.0,0.0
2024-11-22 12:21:23.775,SGP-M1,5G-NR,-77.1,-10.7,0.002,0.07,1.287719,103.804755,640.0,0.0
2024-11-22 12:21:26.893,SGP-M1,5G-NR,-76.0,-11.0,0.003,0.083,1.287719,103.804755,640.0,0.0
2024-11-22 12:21:29.502,SGP-M1,5G-NR,-80.1,-11.9,0.003,0.097,1.287718,103.804755,640.0,0.0
2024-11-22 12:21:32.505,SGP-M1,5G-NR,-79.6,-11.9,0.002,0.101,1.287718,103.804755,640.0,0.0
2024-11-22 12:21:35.500,SGP-M1,5G-NR,-76.2,-10.8,0.003,0.103,1.287718,103.804755,640.0,0.0
2024-11-22 12:21:38.500,SGP-M1,5G-NR,-76.5,-11.5,0.002,0.1,1.287718,103.804755,640.0,0.0
2024-11-22 12:21:57.021,SGP-M1,5G-NR,-75.3,-10.8,0.003,0.102,1.287718,103.804755,80.0,0.0
2024-11-22 12:22:00.775,SGP-M1,5G-NR,-85.5,-11.3,0.003,0.096,1.287718,103.804755,80.0,0.0
2024-11-22 12:22:03.375,SGP-M1,5G-NR,-77.5,-12.1,0.003,0.098,1.287717,103.804752,80.0,0.0
2024-11-22 12:22:05.934,SGP-M1,5G-NR,-76.3,-11.0,0.003,0.117,1.287717,103.804746,80.0,0.0
2024-11-22 12:22:08.025,SGP-M1,5G-NR,-79.5,-12.2,0.003,0.09,1.287716,103.804737,80.0,0.0
2024-11-22 12:22:10.500,SGP-M1,5G-NR,-76.9,-10.9,0.002,0.098,1.287715,103.804737,80.0,0.0
2024-11-22 12:22:12.537,SGP-M1,5G-NR,-82.6,-12.4,0.002,0.105,1.287714,103.804741,80.0,0.0
2024-11-22 12:22:14.781,SGP-M1,5G-NR,-82.1,-12.8,0.002,0.089,1.287713,103.804744,80.0,0.0
2024-11-22 12:22:17.499,SGP-M1,5G-NR,-80.0,-11.0,0.008,0.133,1.287715,103.804746,80.0,0.0
2024-11-22 12:22:20.001,SGP-M1,5G-NR,-79.1,-10.8,0.002,0.064,1.287717,103.804749,80.0,0.0
2024-11-22 12:22:22.286,SGP-M1,5G-NR,-79.2,-10.7,0.002,0.114,1.28772,103.804752,80.0,0.0
2024-11-22 12:22:25.500,SGP-M1,5G-NR,-79.7,-10.7,0.002,0.105,1.28772,103.804753,80.0,0.0
2024-11-22 12:22:28.265,SGP-M1,5G-NR,-80.5,-11.2,0.003,0.088,1.28772,103.804753,80.0,0.0
2024-11-22 12:22:30.780,SGP-M1,5G-NR,-81.6,-10.8,0.002,0.102,1.28772,103.804753,80.0,0.0
2024-11-22 12:22:33.414,SGP-M1,5G-NR,-82.3,-11.3,0.003,0.105,1.28772,103.804754,80.0,0.0
2024-11-22 12:22:35.277,SGP-M1,5G-NR,-81.6,-11.2,0.003,0.086,1.287714,103.804758,80.0,0.0
2024-11-22 12:22:37.833,SGP-M1,5G-NR,-81.4,-11.1,0.002,0.107,1.287709,103.804761,80.0,0.0
2024-11-22 12:22:40.285,SGP-M1,5G-NR,-77.7,-11.3,0.002,0.085,1.287703,103.804761,640.0,0.0
2024-11-22 12:22:43.020,SGP-M1,5G-NR,-75.9,-11.3,0.003,0.099,1.2877,103.804757,640.0,0.0
2024-11-22 12:22:45.787,SGP-M1,5G-NR,-78.2,-11.6,0.002,0.118,1.2877,103.804756,640.0,0.0
2024-11-22 12:22:48.787,SGP-M1,5G-NR,-79.6,-11.2,0.002,0.119,1.287701,103.804757,640.0,0.0
2024-11-22 12:22:51.735,SGP-M1,5G-NR,-79.8,-11.4,0.002,0.123,1.287705,103.80476,640.0,0.0
2024-11-22 12:22:54.235,SGP-M1,5G-NR,-83.1,-11.3,0.003,0.105,1.287708,103.804762,640.0,0.0
2024-11-22 12:22:56.776,SGP-M1,5G-NR,-76.5,-11.2,0.002,0.102,1.287704,103.804755,640.0,3.0
2024-11-22 12:22:59.282,SGP-M1,5G-NR,-80.2,-11.7,0.002,0.11,1.287665,103.804655,640.0,18.0
2024-11-22 12:23:01.520,SGP-M1,5G-NR,-80.5,-10.9,0.002,0.076,1.287598,103.804536,80.0,21.0
2024-11-22 12:23:03.779,SGP-M1,5G-NR,-72.9,-10.7,0.002,0.101,1.287576,103.804439,80.0,24.0
2024-11-22 12:23:06.255,SGP-M1,5G-NR,-70.2,-10.4,0.003,0.066,1.287604,103.804262,80.0,23.0
2024-11-22 12:23:08.787,SGP-M1,5G-NR,-78.1,-11.3,0.002,0.088,1.287732,103.804143,80.0,30.0
2024-11-22 12:23:11.001,SGP-M1,5G-NR,-81.3,-10.7,0.003,0.082,1.287848,103.804021,674.0,32.0
2024-11-22 12:23:13.000,SGP-M1,5G-NR,-88.4,-11.3,0.003,0.054,1.287967,103.803893,674.0,35.0
2024-11-22 12:23:15.453,SGP-M1,5G-NR,-87.7,-14.1,0.002,0.063,1.288123,103.803725,117.0,37.0
2024-11-22 12:23:17.543,SGP-M1,5G-NR,-87.7,-13.6,0.002,0.081,1.288298,103.803539,117.0,38.0
2024-11-22 12:23:21.023,SGP-M1,5G-NR,-92.6,-14.7,0.003,0.069,1.28855,103.803266,117.0,41.0
2024-11-22 12:23:23.781,SGP-M1,5G-NR,-97.3,-14.0,0.003,0.085,1.288704,103.803114,503.0,43.0
2024-11-22 12:23:25.834,SGP-M1,5G-NR,-96.8,-13.0,0.003,0.077,1.288859,103.802961,503.0,45.0
2024-11-22 12:23:28.018,SGP-M1,5G-NR,-89.8,-12.3,0.002,0.092,1.289097,103.802725,503.0,48.0
2024-11-22 12:23:30.425,SGP-M1,5G-NR,-73.9,-10.5,0.003,0.072,1.289278,103.802553,159.0,50.0
2024-11-22 12:23:33.000,SGP-M1,5G-NR,-87.5,-10.9,0.002,0.091,1.289519,103.802327,159.0,52.0
2024-11-22 12:23:35.434,SGP-M1,5G-NR,-78.9,-10.4,0.003,0.09,1.28976,103.802083,159.0,56.0
2024-11-22 12:23:37.705,SGP-M1,5G-NR,-87.4,-10.8,0.003,0.103,1.289946,103.801858,159.0,54.0
2024-11-22 12:23:39.781,SGP-M1,5G-NR,-94.2,-12.1,0.002,0.092,1.290183,103.801595,159.0,55.0
2024-11-22 12:23:42.685,SGP-M1,5G-NR,-94.2,-11.9,0.003,0.083,1.29051,103.801271,159.0,56.0
2024-11-22 12:23:46.024,SGP-M1,5G-NR,-79.4,-10.6,0.002,0.13,1.290863,103.800942,502.0,54.0
